,Train_Loss,Train_Accuracy,Val_Loss,Val_Accuracy,Epoch
0,0.6612665069897969,0.7278368796439881,0.4353233971595764,0.8388671875,1
1,0.4363700219790141,0.8378767732610094,0.40746632432937624,0.861328125,2
2,0.4216565182209015,0.8447473404255319,0.39408080744743346,0.86328125,3
3,0.40709440811475117,0.8453014182283524,0.39057522249221804,0.85546875,4
4,0.4073898657162984,0.8544991136865413,0.4139268808364868,0.837890625,5
5,0.39771469855308533,0.8550531914893617,0.395013325214386,0.849609375,6
6,0.3903699746131897,0.8614804966652647,0.376483389377594,0.8671875,7
7,0.38142101113001503,0.8661347519844136,0.3632981824874878,0.8681640625,8
8,0.3808667376836141,0.8632535458879268,0.37871955254673956,0.865234375,9
9,0.3763277851740519,0.8705673756751608,0.36494214344024656,0.876953125,10
